Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60007345,7/29/2016,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,70620,Extrusion,,Male,1/18/1993,Temporary / Contingent
60007350,1/8/2015,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,5/31/2017,70610,Mixing,,Female,4/6/1965,Temporary / Contingent
60007354,5/9/2016,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,70630,Calendering,,Male,7/6/1962,Temporary / Contingent
60007356,1/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80670,Curing,,Male,2/11/1977,Temporary / Contingent
60007359,3/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,8/8/2017,80660,Tire Building,,Male,8/29/1960,Temporary / Contingent
60007360,2/13/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80670,Curing,,Male,12/23/1989,Temporary / Contingent
60007363,4/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,70610,Mixing,,Male,1/1/1987,Temporary / Contingent
60007365,4/13/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80660,Tire Building,,Male,9/8/1985,Temporary / Contingent
60007375,7/21/2016,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,7/11/2017,80660,Tire Building,,Male,4/14/1994,Temporary / Contingent
60007376,2/15/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,8/8/2017,80650,Bead,,Male,4/9/1988,Temporary / Contingent
60007377,4/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,8/30/2017,70610,Mixing,,Male,4/20/1976,Temporary / Contingent
60007378,3/24/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80670,Curing,,Male,9/5/1992,Temporary / Contingent
60007380,1/3/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80660,Tire Building,,Male,2/14/1989,Temporary / Contingent
60007384,2/15/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,8/8/2017,80650,Bead,,Male,11/25/1996,Temporary / Contingent
60007387,3/24/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80650,Bead,,Male,1/4/1974,Temporary / Contingent
60007388,12/12/2016,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,70610,Mixing,,Male,7/25/1991,Temporary / Contingent
60007389,3/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80660,Tire Building,,Male,12/30/1994,Temporary / Contingent
60007390,5/8/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,5/8/2017,12250,MV Pass/LT F.F.,,Female,,Rework/Repair Operator Final Finish MVN-
60007392,12/2/2016,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,6/1/2017,80680,Final Finishing,,Male,3/15/1991,Temporary / Contingent
60007395,4/10/2017,32 Termination external,Sumter,US-SC-Sumter-CTNA Prod,5/8/2017,V0 Resignation unknown/Other,7/18/2017,80670,Curing,,Male,11/2/1986,Temporary / Contingent
60007400,5/8/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,5/14/2017,12240,MV Pass/LT Curing,,Male,,
60007401,7/24/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,7/28/2017,I4 Failed probation period,7/26/2017,12120,MV Stock Prep,,Male,12/8/1973,Cutting/Slitting Machine Operator MVN-11
60007502,5/8/2017,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,8/24/2017,T5 End of intership,8/24/2017,205-B974,I BS RD CF MD4,,Male,8/5/1998,Intern/Student Program - Technical
60007503,5/5/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,9/11/2017,161159,Fin. Ably MK100 MOD9,,unknown,,
60007504,8/30/2017,30 Termination,Morganton,US-NC-Morganton-CAS Inc.,9/28/2017,I2 Disciplinary action,9/26/2017,161408,Receiving Morganton,,Male,7/19/1976,Material Handler
60007505,5/8/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/24/2017,161150,Bracketing,,unknown,,Temporary / Contingent
60007506,5/15/2017,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,7/20/2017,T5 End of intership,8/1/2017,99624,HQ Concur,,Male,7/14/1998,Intern/Student Program - Non Technical
60007510,5/3/2017,30 Termination,"MO, Palmyra",US-All-Best Drive,8/1/2017,V0 Resignation unknown/Other,7/24/2017,98062,BD Palmyra Store,,Male,2/24/1999,Service Tech I
60007515,5/8/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/22/2017,161157,Fin. Ably MK25E MOD6,,unknown,,Temporary / Contingent
60007517,5/9/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/18/2017,161150,Bracketing,,unknown,,
60007518,5/15/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/14/2017,161152,Prod. Wash MOR,,unknown,,Temporary / Contingent
60007519,5/8/2017,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,8/18/2017,T5 End of intership,8/18/2017,1862177,PRODUCTION ADMIN,,Male,3/12/1997,Intern/Student Program - Technical
60007521,5/8/2017,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,9/1/2017,T5 End of intership,9/1/2017,2264320,ADAS NAFTA&GM Cu M,,Female,10/29/1998,Intern/Student Program - Technical
60007522,5/10/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,8/20/2017,12250,MV Pass/LT F.F.,,Female,,Rework/Repair Operator Final Finish MVN-
60007523,5/10/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,5/12/2017,12250,MV Pass/LT F.F.,,Female,,Rework/Repair Operator Final Finish MVN-
60007524,5/10/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,5/29/2017,12250,MV Pass/LT F.F.,,Male,,
60007525,5/10/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,8/9/2017,12610,MV PLT Tire Reliabil,,Male,,
60007529,5/8/2017,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,9/19/2017,T5 End of intership,8/11/2017,2264333,ADAS Test & Validati,,Male,10/14/1997,Intern/Student Program - Technical
60007531,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/30/2017,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60007532,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,7/12/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007533,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/13/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007535,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/4/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007536,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/16/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007537,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/30/2017,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60007538,5/2/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/10/2017,V0 Resignation unknown/Other,5/23/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007541,5/8/2017,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,8/24/2017,T5 End of intership,8/24/2017,205-J143,I BS RD BCM2 SE,,Male,11/1/1996,Intern/Student Program - Technical
60007544,4/17/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/11/2017,V0 Resignation unknown/Other,8/1/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007545,5/8/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,5/15/2017,T0 Need for childcare,5/11/2017,54-4362,COM Recv / Frt / Dut,,Male,1/16/1985,Material Handler I
60007549,5/10/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,5/11/2017,V0 Resignation unknown/Other,5/11/2017,2301203010,"Mixer,Dryer,Material",,Male,1/1/1980,Temporary / Contingent
60007550,5/11/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,5/11/2017,V0 Resignation unknown/Other,9/25/2017,2301202050,Ext Asse. Labor AIS,,Male,1/1/1980,Temporary / Contingent
60007552,5/9/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,5/11/2017,V0 Resignation unknown/Other,7/11/2017,2301202030,Ext Mat Prep Labor A,,Female,1/1/1980,Temporary / Contingent
60007554,5/8/2017,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,8/28/2017,T5 End of intership,8/25/2017,205-J072,P FEM FM QM ABH,,Male,5/16/1996,Intern/Student Program - Technical
60007556,5/9/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,5/11/2017,V0 Resignation unknown/Other,5/24/2017,2301258210,QC Inspection,,Male,1/1/1980,Temporary / Contingent
60007564,5/9/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/25/2017,161162,MK25e Valves - SG,,unknown,,
60007565,5/10/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/14/2017,161150,Bracketing,,unknown,,
60007566,5/15/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/18/2017,161159,Fin. Ably MK100 MOD9,,unknown,,Temporary / Contingent
60007567,5/11/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/4/2017,161159,Fin. Ably MK100 MOD9,,unknown,,
60007568,5/11/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/12/2017,161159,Fin. Ably MK100 MOD9,,unknown,,
60007570,5/12/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,9/7/2017,12610,MV PLT Tire Reliabil,,Male,,Quality Technician II
60007571,5/12/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,5/14/2017,12250,MV Pass/LT F.F.,,Female,,
60007579,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,I5 Excessive absenteeism,7/30/2017,12030,MV Mixing,,Male,,
60007581,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,6/22/2017,12250,MV Pass/LT F.F.,,Male,,
60007585,5/15/2017,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,8/25/2017,T5 End of intership,8/25/2017,2264320,ADAS NAFTA&GM Cu M,,Male,3/8/1996,Intern/Student Program - Technical
60007588,5/15/2017,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,8/11/2017,T5 End of intership,8/11/2017,164455,VEHICLE TEST & DEV,,Male,10/5/1996,Intern/Student Program - Technical
60007597,5/15/2017,30 Termination,Troy CA,US-MI-Troy-CAS Inc.,8/3/2017,T5 End of intership,8/3/2017,205-B973,I BS RD BCM2 EE,,Male,3/21/1998,Intern/Student Program - Technical
60007598,5/8/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/15/2017,V0 Resignation unknown/Other,5/9/2017,1862430,PROTOTYPE,,unknown,,Temporary / Contingent
60007601,5/8/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/15/2017,V0 Resignation unknown/Other,5/9/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007603,5/10/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/15/2017,V0 Resignation unknown/Other,5/18/2017,1862177,PRODUCTION ADMIN,,unknown,,
60007609,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/31/2017,I4 Failed probation period,5/23/2017,214-K058,GHPP,,Female,5/30/1997,Production Associate
60007610,5/9/2017,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,7/9/2017,163144,MKxxE Machining,,unknown,9/11/1998,Temporary / Contingent
60007613,5/9/2017,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,6/13/2017,163149,Production Variable,,unknown,12/9/1991,Temporary / Contingent
60007615,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/14/2017,T5 End of intership,8/9/2017,12720,MV Plant Engineering,,Male,2/18/1991,Intern/Student Program - Non Technical
60007616,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/23/2017,V3 Accepted other employment,6/22/2017,12120,MV Stock Prep,,Male,9/20/1977,Cutting/Slitting Machine Operator MVN-11
60007617,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,9/15/2017,T5 End of intership,8/31/2017,12720,MV Plant Engineering,,Female,8/1/1997,Intern/Student Program - Non Technical
60007618,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/25/2017,V0 Resignation unknown/Other,5/24/2017,12240,MV Pass/LT Curing,,Male,5/20/1991,Press Operator MVN-212
60007622,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/9/2017,T5 End of intership,8/4/2017,12720,MV Plant Engineering,,Female,2/21/1994,Intern/Student Program - Non Technical
60007625,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/21/2017,T5 End of intership,8/11/2017,12910,MV Industrial Eng,,Female,12/19/1994,Intern/Student Program - Non Technical
60007626,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/21/2017,T5 End of intership,8/11/2017,12910,MV Industrial Eng,,Female,8/7/1993,Intern/Student Program - Non Technical
60007627,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/14/2017,T5 End of intership,8/10/2017,12680,MV Pass PI,,Male,1/22/1996,Intern/Student Program - Non Technical
60007628,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,6/13/2017,I4 Failed probation period,5/27/2017,214-K058,GHPP,,Female,9/11/1996,Production Associate
60007632,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,6/13/2017,V3 Accepted other employment,6/12/2017,54-3022,COM Eqmt Mtce,,Male,8/5/1970,Maintenance Technician III
60007634,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,7/26/2017,V3 Accepted other employment,7/24/2017,12250,MV Pass/LT F.F.,,Male,1/19/1988,Inspector I
60007638,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,8/9/2017,I4 Failed probation period,8/4/2017,214-K058,GHPP,,Male,4/22/1997,Production Associate
60007639,5/17/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/17/2017,V5 Job abandonment,5/29/2017,12570,MV Shipping and Whse,,Male,,
60007641,5/17/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/17/2017,I5 Excessive absenteeism,5/30/2017,12250,MV Pass/LT F.F.,,Male,,
60007643,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,9/7/2017,V0 Resignation unknown/Other,9/7/2017,54-1202,Prodn Line Cost Coll,,Female,2/19/1995,Manufacturing Associate I
60007646,5/15/2017,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,7/21/2017,VE End of assignment,7/31/2017,1862301,MANUFACTURING ENG,,Female,5/26/1996,Intern/Student Program - Technical
60007647,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,7/24/2017,I4 Failed probation period,7/9/2017,214-K045,SCR,,Male,6/21/1997,Production Associate
60007648,5/15/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/1/2017,761175,EAS Production,,unknown,,Temporary / Contingent
60007649,5/18/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/18/2017,161148,Pre Assembly,,unknown,,
60007650,5/17/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/1/2017,761175,EAS Production,,unknown,,Temporary / Contingent
60007651,5/15/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/31/2017,161158,Fin. Ably MK25E MOD7,,unknown,,Temporary / Contingent
60007653,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,8/9/2017,I4 Failed probation period,8/2/2017,214-K073,Variable Maintenance,,Male,11/15/1968,Maintenance Repair
60007655,5/16/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,5/29/2017,2301202050,Ext Asse. Labor AIS,,unknown,1/1/1970,Temporary / Contingent
60007663,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/30/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007665,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/24/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007668,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/28/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007669,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/12/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007671,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/10/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007672,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/26/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007673,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,8/16/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60007674,5/9/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,V0 Resignation unknown/Other,5/17/2017,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60007676,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,5/18/2017,I5 Excessive absenteeism,9/21/2017,54-1202,Prodn Line Cost Coll,,Female,3/1/1978,Manufacturing Associate I
60007678,5/15/2017,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,10/9/2017,V5 Job abandonment,10/6/2017,80640,Cutting,,Female,5/2/1962,Cutting/Slitting Machine Operator SMT-00
60007684,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/24/2017,V5 Job abandonment,5/15/2017,214-K061,XL3 Fuel Rail,,Male,11/9/1990,Production Associate
60007687,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,7/27/2017,V0 Resignation unknown/Other,7/21/2017,54-1202,Prodn Line Cost Coll,,Male,11/4/1995,Manufacturing Associate I
60007692,5/16/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,6/1/2017,2301202050,Ext Asse. Labor AIS,,unknown,1/1/1970,Temporary / Contingent
60007693,4/6/2017,32 Termination external,Barnsville,US-GA-Barnsville-CTNA Aldora,5/18/2017,V0 Resignation unknown/Other,5/31/2017,18390,AD Direct Cabling,,Male,,Temporary / Contingent
60007694,5/16/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,5/22/2017,2301202030,Ext Mat Prep Labor A,,unknown,1/1/1970,Temporary / Contingent
60007699,4/26/2017,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,5/18/2017,V0 Resignation unknown/Other,9/5/2017,2301203030,BM Machine&Proctect,,Male,1/1/1980,Temporary / Contingent
60007706,5/1/2017,32 Termination external,Barnsville,US-GA-Barnsville-CTNA Aldora,5/18/2017,V0 Resignation unknown/Other,6/18/2017,18390,AD Direct Cabling,,Male,3/8/1993,Temporary / Contingent
60007707,4/24/2017,32 Termination external,Barnsville,US-GA-Barnsville-CTNA Aldora,5/18/2017,V0 Resignation unknown/Other,5/26/2017,18390,AD Direct Cabling,,Male,1/13/1993,Temporary / Contingent
60007709,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/23/2017,V0 Resignation unknown/Other,8/19/2017,54-1202,Prodn Line Cost Coll,,Female,2/16/1976,Manufacturing Associate I
60007711,5/23/2017,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/18/2017,T5 End of intership,8/18/2017,2301202040,Ext Finish Labor A,,Male,4/12/1996,Intern/Student Program - Technical
60007712,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,7/12/2017,V0 Resignation unknown/Other,7/2/2017,214-K061,XL3 Fuel Rail,,Male,8/24/1994,Production Associate
60007714,5/15/2017,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,9/19/2017,I4 Failed probation period,9/6/2017,214-286,SCM - Warehouse,,Male,1/14/1983,Production Associate
60007718,5/15/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,9/1/2017,V0 Resignation unknown/Other,8/30/2017,54-1202,Prodn Line Cost Coll,,Female,3/15/1996,Manufacturing Associate I
60007719,5/19/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,10/15/2017,12250,MV Pass/LT F.F.,,Male,,
60007720,5/19/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,5/28/2017,12250,MV Pass/LT F.F.,,Male,,Rework/Repair Operator Final Finish MVN-
60007723,5/18/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,I2 Disciplinary action,8/14/2017,12030,MV Mixing,,Male,,
60007730,5/18/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/30/2017,761175,EAS Production,,unknown,,
60007731,5/18/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/22/2017,161152,Prod. Wash MOR,,unknown,,
60007735,5/30/2017,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/30/2017,T5 End of intership,6/30/2017,2301219610,Dispatch Supervision,,Male,10/15/1995,Intern/Student Program - Technical
60007737,5/22/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,9/20/2017,12250,MV Pass/LT F.F.,,Male,7/16/1981,
60007738,5/21/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/2/2017,161150,Bracketing,,unknown,,Temporary / Contingent
60007739,5/22/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,8/6/2017,12250,MV Pass/LT F.F.,,Male,4/2/1954,Rework/Repair Operator Final Finish MVN-
60007741,5/21/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/22/2017,161150,Bracketing,,unknown,,Temporary / Contingent
60007742,5/15/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/24/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007743,5/15/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,6/5/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007744,5/15/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,7/19/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007745,5/15/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,6/6/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007746,5/17/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/18/2017,1862177,PRODUCTION ADMIN,,unknown,,
60007747,5/17/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/23/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007748,5/17/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/18/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007749,5/17/2017,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/22/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60007756,5/22/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/11/2017,T5 End of intership,8/10/2017,54-3520,Engr Tech Ops COMM,,Male,6/13/1996,Intern/Student Program - Technical
60007757,5/22/2017,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,8/5/2017,T5 End of intership,8/4/2017,2264332,ADAS GSF Frontend Co,,Female,11/26/1998,Intern/Student Program - Technical
60007758,5/22/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/23/2017,T5 End of intership,8/18/2017,54-3520,Engr Tech Ops COMM,,Male,10/1/1996,Intern/Student Program - Technical
